City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Marsh Harbour,26.5412,-77.0636,83.66,71,67,14.63,BS,broken clouds
1,Tasiilaq,65.6145,-37.6368,48.36,58,20,4.41,GL,few clouds
2,Rocha,-34.4833,-54.3333,47.86,86,33,2.08,UY,scattered clouds
3,Touros,-5.1989,-35.4608,74.79,90,100,10.07,BR,overcast clouds
4,Cape Town,-33.9258,18.4232,48.9,92,37,3.44,ZA,fog
5,Saint Anthony,45.0205,-93.218,89.76,44,20,12.66,US,few clouds
6,Abu Kamal,34.4506,40.9171,92.57,13,3,1.74,SY,clear sky
7,Ayagoz,47.9714,80.4392,62.47,40,26,7.18,KZ,scattered clouds
8,Urucui,-7.2294,-44.5561,81.05,47,33,2.68,BR,scattered clouds
9,Bathsheba,13.2167,-59.5167,83.05,91,40,19.57,BB,scattered clouds
10,Moose Factory,51.2585,-80.6094,61.39,82,100,6.53,CA,light rain
11,Yurgamysh,55.3714,64.4656,64.13,79,88,6.17,RU,overcast clouds
12,Hella,67.2,14.4333,60.89,78,1,5.75,NO,clear sky
13,Busselton,-33.65,115.3333,54.72,71,99,9.98,AU,overcast clouds
14,Tessalit,20.1986,1.0114,87.22,37,62,8.84,ML,light rain
15,Angoche,-16.2325,39.9086,71.83,78,46,5.55,MZ,scattered clouds
16,Ribeira Grande,38.5167,-28.7,74.59,67,15,2.66,PT,few clouds
17,Mahebourg,-20.4081,57.7,70.25,73,40,16.11,MU,scattered clouds
18,Grand Baie,-20.0182,57.5802,70.45,61,42,11.01,MU,scattered clouds
19,Saint-Pierre,-21.3393,55.4781,71.19,75,20,4.61,RE,few clouds
20,Marsa Matruh,31.3525,27.2453,78.01,78,0,11.32,EG,clear sky
21,Kruisfontein,-34.0033,24.7314,49.77,76,3,12.97,ZA,clear sky
22,Port Hawkesbury,45.6169,-61.3485,68.59,95,100,5.75,CA,overcast clouds
23,Saint George,37.1041,-113.5841,96.44,33,0,5.99,US,clear sky
24,Zruc Nad Sazavou,49.7401,15.1061,62.31,94,81,8.66,CZ,broken clouds
25,Ushuaia,-54.8,-68.3,42.46,65,40,18.41,AR,scattered clouds
26,Arraial Do Cabo,-22.9661,-42.0278,68.29,65,32,16.75,BR,scattered clouds
27,Chililabombwe,-12.3648,27.8229,58.96,44,1,2.19,ZM,clear sky
28,Shadrinsk,56.0852,63.6335,64.2,81,99,7.96,RU,light rain
29,Grand Gaube,-20.0064,57.6608,70.38,61,41,11.01,MU,scattered clouds
30,Punta Arenas,-53.15,-70.9167,41.11,75,40,5.75,CL,scattered clouds
31,Codrington,-38.2667,141.9667,52.41,54,100,20.74,AU,overcast clouds
32,Upernavik,72.7868,-56.1549,44.74,83,100,5.75,GL,overcast clouds
33,Pimentel,-6.8367,-79.9342,64.69,72,40,19.57,PE,scattered clouds
34,Arzgir,45.3728,44.2206,80.46,40,7,5.1,RU,clear sky
35,Inirida,3.8653,-67.9239,77.54,94,61,1.1,CO,broken clouds
36,Veraval,20.9,70.3667,80.58,81,49,9.44,IN,scattered clouds
