City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Marsh Harbour,BS,83.66,broken clouds,26.5412,-77.0636,Abaco Beach Resort
3,Touros,BR,74.79,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
5,Saint Anthony,US,89.76,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
8,Urucui,BR,81.05,scattered clouds,-7.2294,-44.5561,Hotel Premium Piauí
9,Bathsheba,BB,83.05,scattered clouds,13.2167,-59.5167,Atlantis Hotel
14,Tessalit,ML,87.22,light rain,20.1986,1.0114,
15,Angoche,MZ,71.83,scattered clouds,-16.2325,39.9086,Guest House HESADA
16,Ribeira Grande,PT,74.59,few clouds,38.5167,-28.7,Quinta da Meia Eira
17,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
18,Grand Baie,MU,70.45,scattered clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
19,Saint-Pierre,RE,71.19,few clouds,-21.3393,55.4781,Alize Plage
20,Marsa Matruh,EG,78.01,clear sky,31.3525,27.2453,Beau Site
29,Grand Gaube,MU,70.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
34,Arzgir,RU,80.46,clear sky,45.3728,44.2206,
35,Inirida,CO,77.54,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
36,Veraval,IN,80.58,scattered clouds,20.9,70.3667,Lords Inn Somnath
37,Sao Felix Do Xingu,BR,82.53,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
38,Eqbaliyeh,IR,87.62,few clouds,35.3022,51.5358,زمین چمن مصنوعی شهید کریمی باغخواص
39,Canico,PT,73.71,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
40,Beyneu,KZ,81.77,scattered clouds,45.3167,55.2,NUR
42,Hazro,PK,81.27,overcast clouds,33.9091,72.4921,حمزہ ٹینٹ سروس اینڈ مکہ پنسار و ڈرائی فروٹ
43,Saint-Philippe,RE,71.11,light rain,-21.3585,55.7679,Le four à pain
45,Dingle,PH,76.21,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
49,Victoria,HK,85.32,scattered clouds,22.2855,114.1577,Mini Central
50,Amapa,BR,73.49,heavy intensity rain,1.0,-52.0,
52,Bonthe,SL,75.85,broken clouds,7.5264,-12.505,Bonthe Holiday Village
55,Cap Malheureux,MU,70.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
61,Caravelas,BR,72.91,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
64,Cayenne,GF,82.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
65,Casablanca,MA,79.02,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
